Iteration,MeanKL,MaxReturn,LossBefore,ExplainedVariance,Entropy,LossAfter,StdReturn,NumTrajs,MeanKLBefore,AverageReturn,Perplexity,AverageDiscountedReturn,MinReturn,dLoss
19,0.00653629347452,1.0,2.0673725102e-18,0.0857320972934,1.53042411996,-0.0379921715234,0.215908975937,102,0.0,0.950980392157,4.62013589868,0.759027360955,0.0,0.0379921715234
20,0.00949745937566,1.0,-4.66697046684e-17,-1.05738242798,1.50523589075,-0.0465262194424,0.0,101,0.0,1.0,4.50521624381,0.800198623883,1.0,0.0465262194424
21,0.00937355656764,1.0,-2.24525822027e-17,-0.0274244170722,1.49063512414,-0.0375043809516,0.134816849801,108,0.0,0.981481481481,4.43991452057,0.807061757016,0.0,0.0375043809516
22,0.0092755857494,1.0,-5.47686926771e-17,-1.03722259876,1.46640830021,-0.03993544706,0.0,104,0.0,1.0,4.33364201379,0.815475059916,1.0,0.03993544706
23,0.00921717359762,1.0,-6.08543413106e-17,-0.140881889527,1.44976253176,-0.0382226870283,0.135433427534,107,0.0,0.981308411215,4.26210228105,0.805025566461,0.0,0.0382226870283
24,0.00949625291842,1.0,-1.77992860248e-16,0.0802871446519,1.42781472997,-0.0419494359585,0.094068337079,112,0.0,0.991071428571,4.16957757605,0.8223058696,0.0,0.0419494359585
25,0.00938503807711,1.0,3.35285336683e-17,-0.544380137301,1.40804901512,-0.0613101077366,0.0,116,0.0,1.0,4.08797204725,0.836368921568,1.0,0.0613101077366
26,0.00697016718877,1.0,-2.24549620775e-16,0.0183667214746,1.40554599988,-0.0341978688558,0.0,108,0.0,1.0,4.077752586,0.82365166582,1.0,0.0341978688558
27,0.00639905329306,1.0,-4.81737611414e-17,0.269807869991,1.3867257771,-0.0371263240355,0.0,113,0.0,1.0,4.00172603623,0.832691926068,1.0,0.0371263240355
28,0.00917029071915,1.0,7.42064748461e-17,0.41859765402,1.35415892214,-0.0456106609513,0.0,118,0.0,1.0,3.87350166968,0.850957064845,1.0,0.0456106609513
29,0.00642940021977,1.0,-1.02960407694e-16,0.410302450132,1.30530699181,-0.0397106403346,0.0,120,0.0,1.0,3.68882135784,0.847941495186,1.0,0.0397106403346
30,0.00915707449232,1.0,5.16332349508e-17,0.473550605282,1.28006850749,-0.0441923294027,0.0,120,0.0,1.0,3.59688613076,0.851953998224,1.0,0.0441923294027
31,0.00896791630691,1.0,-3.37242288097e-18,0.381261665587,1.24585360031,-0.0420758166605,0.0,125,0.0,1.0,3.47590056318,0.856097332184,1.0,0.0420758166605
32,0.00948189283327,1.0,2.34876904074e-17,0.305903391888,1.20613131851,-0.0606606467351,0.0,128,0.0,1.0,3.3405361515,0.868228175038,1.0,0.0606606467351
