MinReturn,Entropy,dLoss,LossBefore,StdReturn,Perplexity,MeanKL,ExplainedVariance,AverageDiscountedReturn,LossAfter,AverageReturn,MeanKLBefore,MaxReturn,NumTrajs,Iteration,AveragePolicyStd
-12.0,11.46184743877006,0.15484515164684587,-1.9471508227695923e-16,4.988406726658591,95020.45267912798,0.4538692584733724,-0.031723460260636216,-0.9125185810141144,-0.15484515164684606,-4.0852713178294575,0.0,2.0,129,10,1.01407045683493
-12.0,11.469551025165867,0.13488349237869368,1.9681646467864322e-16,4.761617852018822,95755.27770572208,0.4773855959175967,-0.05054972998449547,-0.6581855789518716,-0.1348834923786935,-3.237704918032787,0.0,2.0,122,11,1.0151191243704094
-12.0,11.457918724670472,0.13608460586505905,1.406177897675258e-16,4.967453908700879,94647.8768381372,0.43820236450432704,0.026682156085691022,-0.6203719054683152,-0.1360846058650589,-3.661290322580645,0.0,2.0,124,12,1.0137366115447721
-12.0,11.47077334795119,0.13966312842946427,2.104393625302852e-16,5.003410701945599,95872.39312531818,0.46229727165645723,0.03928062774613772,-0.8243040981768652,-0.13966312842946405,-4.0703125,0.0,2.0,128,13,1.015371297317344
-12.0,11.475440010090674,0.13875720546289,-4.909709658834192e-17,5.185987853748758,96320.84276015274,0.4583315636259182,0.03203969364362225,-0.8937698450962643,-0.13875720546289005,-4.740458015267175,0.0,2.0,131,14,1.0159829170048504
-11.0,11.47320100511828,0.14983875587694653,-5.660643259065816e-17,4.943571968586454,96105.42116926913,0.4554441419255391,0.08499848492294293,-0.7913844681067718,-0.1498387558769466,-4.1484375,0.0,3.0,128,15,1.0156968157055675
-11.0,11.459785775198728,0.13655866165245492,-2.435543913802643e-16,4.812129122105733,94824.75427476082,0.4463387257017087,0.06973719144748614,-0.6475604454979991,-0.13655866165245517,-3.6422764227642275,0.0,3.0,123,16,1.0139447688804704
-12.0,11.466538518555419,0.13698218325421838,-2.2093878754732926e-16,4.657985593986171,95467.24836162673,0.44095492946537146,0.013367471314132406,-0.3854487785302832,-0.1369821832542186,-3.0701754385964914,0.0,2.0,114,17,1.0148061977347589
-11.0,11.486118359241406,0.14239814402523182,-9.723657867112995e-17,4.618516751585537,97354.90154412872,0.43775460243565184,-0.0033891741661675745,-0.5961857545090299,-0.14239814402523193,-3.1176470588235294,0.0,2.0,119,18,1.017297075568329
-11.0,11.527109359694235,0.14387837645809806,-4.798456210135603e-17,4.808665499791901,101428.49634427855,0.4528533220043653,0.05747349836174864,-0.5020213842035538,-0.14387837645809812,-3.7083333333333335,0.0,1.0,120,19,1.022546019905071
-11.0,11.502281311151396,0.1493558628367818,2.594502539373901e-16,4.447941714260672,98941.2294726567,0.44983365776431455,-0.033107500799604894,-0.44149438318170187,-0.14935586283678154,-2.4827586206896552,0.0,2.0,116,20,1.0192603124878565
-11.0,11.502330975951576,0.14291961279264626,-5.551004940415572e-18,4.355078219965906,98946.14349107389,0.45624602543049114,0.053968958950487145,-0.4365033793086869,-0.14291961279264626,-2.413793103448276,0.0,2.0,116,21,1.019175490905075
-12.0,11.501904784230302,0.14120927430007935,-8.29173420035794e-17,4.486063274754824,98903.98244884772,0.45100548335688,0.051942549773946745,-0.5093037292206596,-0.14120927430007943,-2.6956521739130435,0.0,2.0,115,22,1.0191131702272407
-11.0,11.511557787427849,0.14208260707366596,-1.2891643593065644e-16,3.871146549552702,99863.32573023133,0.4506510811718625,-0.09476249803977588,-0.26015082433997166,-0.1420826070736661,-1.8807339449541285,0.0,2.0,109,23,1.0203740227544458
-12.0,11.526252902729945,0.13920223561801737,2.1475319110924776e-17,4.282701334427734,101341.66439143023,0.4444397803230457,0.013617966477833754,-0.2490015345607173,-0.13920223561801734,-2.099099099099099,0.0,2.0,111,24,1.0222120938682073
-12.0,11.540150942164676,0.1400856545609235,-4.9635035585399915e-18,4.400753283732879,102759.94768909566,0.43968882925963015,0.0006632164246800354,-0.33429239420949247,-0.1400856545609235,-2.1875,0.0,2.0,112,25,1.0239374036631923
