Iteration,MaxReturn,MinReturn,MeanKL,ExplainedVariance,Perplexity,Deterministic_TrueReturn,AverageReturn,LossAfter,AverageDiscountedReturn,Entropy,TrueAverageReturn,dLoss,MeanKL_Before,StdReturn,NumTrajs
16,3.0,-2.0,0.00946980416648,0.256062863626,4.81988054684,1.0,0.734848484848,-0.00910461813811,0.265851778717,1.57274914494,0.734848484848,0.00910461813811,0.0,0.944360040522,132
17,3.0,-2.0,0.00972702710209,0.359686907291,4.88705203029,1.0,0.651515151515,-0.00852378456813,0.266953016461,1.58658926491,0.651515151515,0.00852378456813,0.0,0.788024462057,132
18,3.0,-1.0,0.00970170951755,0.268206630873,4.83308044172,1.0,0.734848484848,-0.00836885822186,0.276821077427,1.57548403699,0.734848484848,0.00836885822186,0.0,0.886428384064,132
19,2.0,-1.0,0.00976985675649,0.32878479355,4.84136647864,1.0,0.734848484848,-0.00853376641773,0.353800622075,1.57719701118,0.734848484848,0.00853376641773,0.0,0.767323649514,132
20,3.0,-1.0,0.00956096417622,0.265711166719,4.80566559819,0.0,0.772727272727,-0.00875509821003,0.319767030417,1.56979555482,0.772727272727,0.00875509821003,0.0,0.774507752675,132
21,3.0,-1.0,0.00665756330946,0.352816238086,4.83021600594,1.0,0.742424242424,-0.00716002083933,0.291775785148,1.57489118839,0.742424242424,0.00716002083933,0.0,0.831402722322,132
22,4.0,-1.0,0.00662294704085,0.374994252308,4.66780105424,3.0,1.00757575758,-0.00696775655648,0.389442283904,1.54068809446,1.00757575758,0.00696775655648,0.0,0.908680462899,132
23,3.0,-1.0,0.00968736883217,0.328184048152,4.62340882289,1.0,0.893939393939,-0.00826347123163,0.31654058743,1.53113227348,0.893939393939,0.00826347123163,0.0,0.781001452658,132
24,3.0,-1.0,0.00662753459173,0.33813196706,4.56310106632,2.0,0.864661654135,-0.00690327366107,0.33306567265,1.51800245079,0.864661654135,0.00690327366107,0.0,0.792653816929,133
25,4.0,-2.0,0.00986110679999,0.281690963143,4.37165749798,3.0,0.954545454545,-0.00817612342348,0.337452065774,1.47514222735,0.954545454545,0.00817612342348,0.0,1.01402017465,132
26,4.0,-1.0,0.00657194838386,0.389815500195,4.38300695235,1.0,1.20454545455,-0.00662066006594,0.42303716254,1.47773500764,1.20454545455,0.00662066006594,0.0,0.885391852674,132
27,6.0,-1.0,0.00996258353491,0.459959581969,4.26967928207,2.0,1.32824427481,-0.00839298616345,0.450457523973,1.45153871483,1.32824427481,0.00839298616345,0.0,0.976383325516,131
28,5.0,-1.0,0.00667151430902,0.447999403054,4.25893674315,1.0,1.37878787879,-0.00700552719617,0.468227553759,1.44901953832,1.37878787879,0.00700552719617,0.0,0.933633363818,132
29,4.0,-1.0,0.00655277363943,0.399904490861,4.29482891008,2.0,1.24812030075,-0.00693460095752,0.408500087968,1.45741171997,1.24812030075,0.00693460095752,0.0,0.968729227573,133
30,5.0,-1.0,0.00990770123354,0.435565061693,4.13236281515,3.0,1.58333333333,-0.00765787956233,0.520289906303,1.41884935359,1.58333333333,0.00765787956234,0.0,1.18091943293,132
31,5.0,-1.0,0.00646324440386,0.46265227094,4.1496292351,1.0,1.53787878788,-0.00651344577248,0.484830527381,1.42301898931,1.53787878788,0.00651344577248,0.0,1.13754988589,132
